game_pk,date,away_team,away_score,home_score,home_team,win_team,lose_team,win_score,lose_score,final_score
717300,2023-07-22,Baltimore Orioles,6,5,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,6,5,6-5
717301,2023-07-22,Toronto Blue Jays,8,9,Seattle Mariners,Seattle Mariners,Toronto Blue Jays,9,8,9-8
717299,2023-07-22,San Diego Padres,14,3,Detroit Tigers,San Diego Padres,Detroit Tigers,14,3,14-3
717307,2023-07-22,San Francisco Giants,1,10,Washington Nationals,Washington Nationals,San Francisco Giants,10,1,10-1
717309,2023-07-22,New York Mets,6,8,Boston Red Sox,Boston Red Sox,New York Mets,8,6,8-6
717302,2023-07-22,Philadelphia Phillies,0,1,Cleveland Guardians,Cleveland Guardians,Philadelphia Phillies,1,0,1-0
717293,2023-07-22,Chicago White Sox,2,3,Minnesota Twins,Minnesota Twins,Chicago White Sox,3,2,3-2
717296,2023-07-22,Atlanta Braves,3,4,Milwaukee Brewers,Milwaukee Brewers,Atlanta Braves,4,3,4-3
717295,2023-07-22,Houston Astros,1,4,Oakland Athletics,Oakland Athletics,Houston Astros,4,1,4-1
717297,2023-07-22,Pittsburgh Pirates,3,0,Los Angeles Angels,Pittsburgh Pirates,Los Angeles Angels,3,0,3-0
717288,2023-07-23,San Diego Padres,1,3,Detroit Tigers,Detroit Tigers,San Diego Padres,3,1,3-1
717290,2023-07-23,San Francisco Giants,1,6,Washington Nationals,Washington Nationals,San Francisco Giants,6,1,6-1
717294,2023-07-23,Kansas City Royals,5,8,New York Yankees,New York Yankees,Kansas City Royals,8,5,8-5
717289,2023-07-23,Arizona Diamondbacks,3,7,Cincinnati Reds,Cincinnati Reds,Arizona Diamondbacks,7,3,7-3
717291,2023-07-23,Baltimore Orioles,5,3,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,5,3,5-3
717283,2023-07-23,Philadelphia Phillies,8,5,Cleveland Guardians,Philadelphia Phillies,Cleveland Guardians,8,5,8-5
717292,2023-07-23,Colorado Rockies,2,3,Miami Marlins,Miami Marlins,Colorado Rockies,3,2,3-2
717285,2023-07-23,Chicago White Sox,4,5,Minnesota Twins,Minnesota Twins,Chicago White Sox,5,4,5-4
717287,2023-07-23,Atlanta Braves,4,2,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,4,2,4-2
717286,2023-07-23,St. Louis Cardinals,2,7,Chicago Cubs,Chicago Cubs,St. Louis Cardinals,7,2,7-2
717284,2023-07-23,Los Angeles Dodgers,4,8,Texas Rangers,Texas Rangers,Los Angeles Dodgers,8,4,8-4
717279,2023-07-23,Houston Astros,3,2,Oakland Athletics,Houston Astros,Oakland Athletics,3,2,3-2
717278,2023-07-23,Pittsburgh Pirates,5,7,Los Angeles Angels,Los Angeles Angels,Pittsburgh Pirates,7,5,7-5
717281,2023-07-23,Toronto Blue Jays,4,3,Seattle Mariners,Toronto Blue Jays,Seattle Mariners,4,3,4-3
717298,2023-07-23,New York Mets,1,6,Boston Red Sox,Boston Red Sox,New York Mets,6,1,6-1
